2026-09-01 20:47:52,620 [WARNING] Missing file pair for lead f0720h. Skipping.
VAR   | LEAD   | RMSE     | BIAS     | ACC     | FCST MIN/MAX           | TRUTH MIN/MAX
P     | f018h  | 75.2996  | 65.1014  | 0.3806  | 803.42 / 1058.73       | 898.36 / 983.19
P     | f024h  | 84.1622  | 74.1628  | 0.3265  | 755.07 / 1058.73       | 901.12 / 972.96
P     | f030h  | 89.3841  | 77.8806  | 0.2507  | 713.61 / 1058.73       | 903.41 / 974.08
P     | f036h  | 92.3297  | 77.0988  | 0.1889  | 647.89 / 1058.73       | 900.97 / 982.35
P     | f042h  | 95.6836  | 74.0652  | 0.1455  | 534.22 / 1058.73       | 897.36 / 985.25
P     | f048h  | 100.0321 | 69.4731  | 0.1258  | 500.11 / 1058.73       | 896.82 / 969.58
P     | f054h  | 105.7067 | 63.9612  | 0.1134  | 500.11 / 1058.73       | 897.07 / 969.84
P     | f060h  | 112.3298 | 58.1502  | 0.1017  | 500.11 / 1058.73       | 898.08 / 983.11
P     | f066h  | 119.3240 | 52.3680  | 0.0984  | 500.11 / 1058.73       | 900.76 / 993.41
P     | f072h  | 126.1369 | 46.5408  | 0.1018  | 500.11 / 1058.73       | 901.40 / 978.52
P     | f078h  | 132.7383 | 40.6054  | 0.0995  | 500.11 / 1058.73       | 902.71 / 980.62
P     | f084h  | 138.9309 | 34.6135  | 0.0973  | 500.11 / 1058.73       | 901.29 / 997.77
P     | f090h  | 144.7826 | 28.7782  | 0.0983  | 500.11 / 1058.73       | 900.49 / 1003.85
P     | f096h  | 150.2397 | 23.1554  | 0.1052  | 500.11 / 1058.73       | 899.96 / 980.51
P     | f102h  | 155.4832 | 17.5821  | 0.1042  | 500.11 / 1058.73       | 902.42 / 979.26
P     | f108h  | 160.5323 | 12.0870  | 0.1029  | 500.11 / 1058.73       | 901.27 / 984.45
P     | f114h  | 165.3440 | 6.8622   | 0.1045  | 500.11 / 1058.73       | 899.10 / 991.65
P     | f120h  | 169.9044 | 1.8574   | 0.1096  | 500.11 / 1058.73       | 897.03 / 976.32
---------------------------------------------------------------------------------------------------------
U     | f006h  | 6.5270   | -2.0141  | 0.7644  | -47.72 / 46.54         | -42.38 / 41.17
U     | f012h  | 10.8374  | -5.0057  | 0.5189  | -63.02 / 42.26         | -38.39 / 41.07
U     | f018h  | 15.4539  | -8.7440  | 0.3438  | -63.88 / 54.93         | -46.91 / 35.75
U     | f024h  | 19.9312  | -11.7961 | 0.2272  | -75.20 / 63.03         | -47.18 / 36.01
U     | f030h  | 24.9096  | -15.0085 | 0.1470  | -90.58 / 74.55         | -43.87 / 42.78
U     | f036h  | 29.7888  | -17.6123 | 0.1015  | -108.22 / 81.49        | -44.59 / 39.98
U     | f042h  | 34.7515  | -20.0740 | 0.0730  | -120.00 / 92.52        | -39.23 / 42.95
U     | f048h  | 39.6736  | -22.3773 | 0.0603  | -120.00 / 106.11       | -36.72 / 42.09
U     | f054h  | 44.6399  | -24.5780 | 0.0449  | -120.00 / 114.24       | -44.54 / 43.41
U     | f060h  | 49.4969  | -26.6647 | 0.0327  | -120.00 / 120.00       | -40.93 / 45.02
U     | f066h  | 54.0444  | -28.4730 | 0.0226  | -120.00 / 120.00       | -40.81 / 43.59
U     | f072h  | 58.3043  | -30.1045 | 0.0170  | -120.00 / 120.00       | -40.77 / 39.37
U     | f078h  | 62.2422  | -31.5990 | 0.0127  | -120.00 / 120.00       | -39.86 / 40.31
U     | f084h  | 65.8178  | -32.8158 | 0.0122  | -120.00 / 120.00       | -42.47 / 37.72
U     | f090h  | 69.1272  | -33.8530 | 0.0071  | -120.00 / 120.00       | -42.06 / 40.36
U     | f096h  | 72.0974  | -34.6988 | 0.0075  | -120.00 / 120.00       | -41.31 / 38.93
U     | f102h  | 74.8667  | -35.5798 | 0.0078  | -120.00 / 120.00       | -40.02 / 42.31
U     | f108h  | 77.2992  | -36.2505 | 0.0107  | -120.00 / 120.00       | -42.87 / 44.68
U     | f114h  | 79.5435  | -36.8565 | 0.0060  | -120.00 / 120.00       | -51.69 / 34.55
U     | f120h  | 81.5455  | -37.4618 | 0.0096  | -120.00 / 120.00       | -51.84 / 36.81
---------------------------------------------------------------------------------------------------------
V     | f006h  | 6.2361   | 1.6771   | 0.6310  | -33.45 / 41.44         | -39.47 / 40.67
V     | f012h  | 8.7850   | 1.6111   | 0.3796  | -35.25 / 44.79         | -40.58 / 42.19
V     | f018h  | 10.4603  | 0.0597   | 0.2375  | -35.50 / 54.41         | -42.37 / 39.14
V     | f024h  | 12.3216  | -1.1574  | 0.1648  | -40.76 / 69.79         | -46.55 / 43.98
V     | f030h  | 14.5638  | -2.2022  | 0.1090  | -44.74 / 80.32         | -50.48 / 49.50
V     | f036h  | 17.0143  | -3.3455  | 0.0822  | -50.96 / 94.58         | -44.69 / 49.33
V     | f042h  | 19.6467  | -4.3202  | 0.0724  | -55.76 / 111.39        | -48.42 / 54.63
V     | f048h  | 22.2057  | -5.1070  | 0.0691  | -66.26 / 120.00        | -45.05 / 53.98
V     | f054h  | 24.7614  | -5.6568  | 0.0599  | -71.94 / 120.00        | -45.59 / 51.13
V     | f060h  | 27.2941  | -6.1250  | 0.0413  | -77.17 / 120.00        | -40.69 / 50.96
V     | f066h  | 29.5869  | -6.2875  | 0.0405  | -82.78 / 120.00        | -38.38 / 41.04
